supabase_id,EMAIL,SMS,TEL,PRENOM,NOM,COMPANY,ADDRESS,WEBSITE_URL,FACEBOOK_URL,INSTAGRAM_URL,AVERAGE_RATE,NUMBER_OF_RATE,CITY_ID,JOB_TITLE,CATEGORIE,PROPRIETAIRE,CANAL_PRINCIPAL,COMMENTAIRE
10,sylvie_claudel@uff.net,,+33143127560,,CGP Entrepreneurs,CGP Entrepreneurs,"14 Rue de Milan, 75009 Paris",http://www.cgpe.com/,https://m.facebook.com/policies/cookies/,,4.8,57,10453,Services aux entreprises,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
11,contact@laciedescgp.fr,,+33142655948,,LA COMPAGNIE DES CGP,LA COMPAGNIE DES CGP,"8 Rue Godot de Mauroy, 75009 Paris",http://www.laciedescgp.fr/,https://www.facebook.com/lacompagniedescgp,,4.6,34,10453,Institution financière,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
13,renaud@educamia.org-8.png,,+33140060808,,CGPC (Association française des Conseils en Gestion de Patrimoine Certifiés),CGPC (Association française des Conseils en Gestion de Patrimoine Certifiés),"11Bis Rue Delambre, 75014 Paris",https://www.cgpc.fr/,https://www.facebook.com/cgpc.france,https://www.instagram.com/cgpc.fr/,5.0,8,10453,Organisme à but non lucratif,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
15,contact@cgp77.fr,+33750451784,,,CGP77,CGP77,,https://www.cgp77.fr/,,,4.9,12,31532,Conseiller en gestion des affaires,Expert-comptable,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
16,fmunier.cgpi@gmail.com,+33613741877,,,Munier Patrimoine,Munier Patrimoine,"2 Cr de l'Elbe, 77700 Serris",https://www.munier-patrimoine.fr/,,,5.0,37,10283,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
23,info@cncgp.fr,,+33142567650,,Chambre Nationale des Conseils en Gestion de Patrimoine,Chambre Nationale des Conseils en Gestion de Patrimoine,"15 Pl. du Général Catroux, 75017 Paris",http://www.cncgp.fr/,https://www.facebook.com/infocncgp/,,5.0,4,10372,Association ou organisation,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
26,groupe-quintesens@groupe-quintesens.fr,,+33171208060,,Groupe Quintésens Paris CGP (Conseiller en Gestion de Patrimoine),Groupe Quintésens Paris CGP (Conseiller en Gestion de Patrimoine),"54 Rue Beaubourg, 75003 Paris",https://groupe-quintesens.fr/,,,3.7,42,10453,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
33,contact.drpo@ganpatrimoine.fr,+33629104927,,,"Denis LE DENN, CGP GAN Patrimoine","Denis LE DENN, CGP GAN Patrimoine",,https://www.ganpatrimoine.fr/,,,,,10972,Compagnie d'assurance-vie,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
35,mairie@plougonven.fr,,+33298786404,,Mairie de Plougonven,Mairie de Plougonven,"Pl. Résistance, 29640 Plougonven",http://www.plougonven.com/,https://www.facebook.com/Plougonven/,,4.1,26,10972,Hôtel de ville,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
36,david.gomez@dg-patrimoine.fr,+33676237262,,,DG Patrimoine,DG Patrimoine,"18 Av. de la Rogère, 91220 Le Plessis-Pâté",http://www.dg-patrimoine.fr/,,https://www.instagram.com/dgpatrimoine_/,5.0,5,10523,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
40,olivier.cerf@ao2c.fr,,+33160845675,,AO2C,AO2C,"63 Av. de la Commune de Paris, 91220 Brétigny-sur-Orge",http://www.ao2c.fr/?utm_source=gmb,,,5.0,28,35728,Expert-comptable,Expert-comptable,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
41,reclamations@stpierreassurances.com,,+33160854444,,Agence immobilière Laforêt Bretigny-Sur-Orge,Agence immobilière Laforêt Bretigny-Sur-Orge,"2-4-6 Rue Anatole France, 91220 Brétigny-sur-Orge",https://www.laforet.com/agence-immobiliere/bretigny?utm_source=google&utm_medium=mybusiness,https://www.facebook.com/laforetimmobilierbretigny/,,4.9,300,10419,Agence immobilière,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
46,communication@roumoiseine.fr,+33677388898,,,France Services Bourneville Sainte Croix (Antenne de Bourg-achard) Uniquement sur RDV,France Services Bourneville Sainte Croix (Antenne de Bourg-achard) Uniquement sur RDV,"26 chemin de la mairie, 27500 Bourneville-Sainte-Croix",http://roumoiseine.fr/,https://www.facebook.com/630301017361548/posts/985499187567390,,5.0,2,10319,Administration locale,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
54,administration@cgpp.fr,,+33146519148,,CGPP Compagnie de Gestion Privée du Patrimoine,CGPP Compagnie de Gestion Privée du Patrimoine,"39 Rue Erlanger, 75016 Paris",http://www.cgpp.fr/,https://fr-fr.facebook.com/CGPPFrance/,,5.0,1,10372,Conseiller financier,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
56,contact@lecercledesavises.fr,+33648294855,,,"Le Cercle Des Avisés | Expert en Placements, Fiscalité et Ingenierie Patrimoniale","Le Cercle Des Avisés | Expert en Placements, Fiscalité et Ingenierie Patrimoniale","229 Rue Saint-Honoré, 75001 Paris",https://www.lecercledesavises.fr/,,,5.0,92,10079,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
57,contact@ccassurance.com,+33622363803,,,CCA PATRIMOINE - Olivier DURUPT,CCA PATRIMOINE - Olivier DURUPT,"2 All. des Atlantes, 28000 Chartres",https://www.ccassurance.com/gestion-de-patrimoine-2/,,,4.9,16,10870,Conseiller financier,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
58,sgp@blc-associes.fr,,+33237883636,,Cabinet BLC & Associés,Cabinet BLC & Associés,"5 All. des Atlantes, 28000 Chartres",https://www.blc-associes.fr/,,,4.5,22,10870,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
59,cparisis.conseils@gmail.com,+33626488624,,,Catherine PARISIS - Conseillère en Gestion de Patrimoine,Catherine PARISIS - Conseillère en Gestion de Patrimoine,"17 Rue Alfred Beillard, 28410 Broué",https://catherineparisis.fr/,,,4.9,29,10870,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
62,example@domain.com,,+33278991050,,GAN ASSURANCES LE NEUBOURG,GAN ASSURANCES LE NEUBOURG,"1 Rte de Beaumont, 27110 Le Neubourg",https://www.agence.gan.fr/75-gan-assurances-le-neubourg?utm_source=gmb,https://facebook.com/sharer/sharer.php?u=http%3A%2F%2Fwww.agence.gan.fr%2F75-gan-assurances-le-neubourg%23video-nationale&amp;t=L%27instant%20Patrimoine%20f%C3%AAte%20ses%205%20ans%20%21,,3.3,8,10299,Agence d'assurance,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
65,flags@2x.png,,+33232350468,,In Extenso Le Neubourg,In Extenso Le Neubourg,"9 Pl. Aristide Briand, 27110 Le Neubourg",https://www.inextenso.fr/agence/expert-comptable-le-neubourg/,https://fr-fr.facebook.com/inextenso.fr/,https://www.instagram.com/inextenso.fr/,5.0,3,10299,Expert-comptable,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
68,contact@theplacebycci28.fr,+33675926787,,,The Place by CCI 28,The Place by CCI 28,"5Bis Av. Marcel Proust, 28000 Chartres",http://www.theplacebycci28.fr/,,https://www.instagram.com/theplacecci28/,4.7,15,10838,Chambre de commerce et d'industrie,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
71,acgs@acgs.fr,+33774077541,,,Gestion de Patrimoine - Cabinet ACGS,Gestion de Patrimoine - Cabinet ACGS,"26 Bd de Strasbourg, 94130 Nogent-sur-Marne",https://www.acgs.fr/?utm_source=gmb,,,5.0,54,10838,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
74,quimper@maif.fr,,+33298101630,,MAIF Assurances Quimper,MAIF Assurances Quimper,"65 rue du Président Sadate, Bd de Créac'h Gwen, 29000 Quimper",https://agence.maif.fr/fr/france-FR/2920/maif-assurances-quimper/details?xtor=AL-5970-%5Bfichegoogle-siteweb%5D,https://www.facebook.com/MAIFassureur,https://www.instagram.com/maif.fr,3.8,45,11003,Agence d'assurance,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
75,adresse@mail.fr,,+33298696930,,CRÉDIT AGRICOLE PLOGONNEC,CRÉDIT AGRICOLE PLOGONNEC,"Rue Pont Peronic, 29180 Plogonnec",https://www.ca-finistere.fr/Contactez-nous.html?utm_source=gmb,https://www.facebook.com/CreditAgricoleFinistere,https://www.instagram.com/ca_finistere,4.4,10,11003,Banque,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
77,corinnebourgeau@gmail.com,+33668583498,,,Ligne 21,Ligne 21,"Lesmel, 29180 Plogonnec",https://www.ligne21.eu/,,,5.0,2,11003,Lodge,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
79,contact@cgpa-promotion.bzh,,+33298104910,,CGPA Promotion,CGPA Promotion,"1 Rue de Silguy, 29000 Quimper",https://cgpa-promotion.bzh/,https://www.facebook.com/cgpapromotion/,,,,11003,Promoteur immobilier,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
80,contact@acimad-asso.fr,,+33298928616,,ACIMAD (antenne ADADOM),ACIMAD (antenne ADADOM),"2 Rue des Ecoles, 29180 Plogonnec",https://www.acimad.fr/,https://www.facebook.com/association.Acimad,,4.3,3,11003,Aide à domicile,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
81,mairie@plogonnec.fr,,+33298917206,,Mairie de Plogonnec,Mairie de Plogonnec,"2 Rue de la Mairie, 29180 Plogonnec",https://www.plogonnec.fr/,https://www.facebook.com/Restaurant-Scolaire-Plogonnec-138381100205838/,,5.0,5,11003,Hôtel de ville,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
84,accueil@cgpexpert.fr,,+33299830544,,CGP Expert,CGP Expert,"12 Rue des Francs Bourgeois, 35000 Rennes",http://www.cgpexpert.fr/,,,,,11003,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
87,florence.jaffreleber@capifrance.fr,+33749598874,,,Florence JAFFRE-LE BER (EI) Conseillère en Immobilier CAPIFRANCE,Florence JAFFRE-LE BER (EI) Conseillère en Immobilier CAPIFRANCE,,https://florence-jaffreleber.capifrance.fr/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=florence-jaffreleber-conseiller,https://www.facebook.com/capifrance,https://www.instagram.com/capifrance/,,,11129,Agent immobilier,Agent immobilier,Immo Trust,EMAIL,Exporté depuis Supabase le 2026-06-01
90,contact@gaius.fr,+33679032599,,,Gaius Patrimoine,Gaius Patrimoine,"14 Rue de la Madeleine, 27200 Vernon",http://www.gaius.fr/,,,5.0,88,10372,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
92,gregoirebrunet1971@gmail.com,+33667354268,,,Grégoire BRUNET,Grégoire BRUNET,"1 Chem. de Villegats, 78270 Cravent",https://pedagogieetconseilfinanciercgp.fr/,https://www.facebook.com/groups/3040985495929566?locale=fr_FR,,4.9,47,10453,Conseil en investissement,CGP,Rentium,EMAIL,Exporté depuis Supabase le 2026-06-01
97,miguel@wapix.be,,,,F&F Elec,F&F Elec,"Rue de Tournai 15A, 7520 Tournai, Belgique",https://ffelec.be/,https://www.facebook.com/AxiomThemes,https://www.instagram.com/axiom_themes/,5.0,2,22943,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
101,lyon@bilik.fr,+33624974515,,,LEFERT ELECTRICITE GENERALE,LEFERT ELECTRICITE GENERALE,"L'HOPITAL, 68 Rue de la Croix, 01150 Chazey-sur-Ain",https://www.bilik.fr/lyon/depannage-electricite/lefert-electricite-generale,https://www.facebook.com/bilik.fr,https://www.instagram.com/bilik.fr/,5.0,92,355,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
108,contact@puissanc-elec.fr,+33688834782,,,Puissanc'elec Electricien Meximieux et Amberieu en Bugey,Puissanc'elec Electricien Meximieux et Amberieu en Bugey,"618 Av. Charles de Gaulle, 01800 Villieu-Loyes-Mollon",https://puissanc-elec.fr/,https://www.facebook.com/DIAZDavid01,,,,355,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
110,contact@rhonelec-solutions.fr,+33682032512,,,Rhonelec-solutions,Rhonelec-solutions,"4 Imp. de Cannes, 01800 Villieu-Loyes-Mollon",https://www.rhonelec-solutions.fr/,,,4.9,53,355,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
111,contact@busiris.net,+33652732919,,,Busiris Genie Services,Busiris Genie Services,"3 clos les Grandes Terres, 01800 Villieu-Loyes-Mollon",http://www.busiris.net/,https://www.facebook.com/Busiris-Genie-Services-Bgs-136294520411258/,https://www.instagram.com,4.9,16,355,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
116,utilisateur@domaine.com,+33606732501,,,Job'elec,Job'elec,"1637 Rte de Chânes, 01360 Béligneux",https://www.jobelec.pro/,https://www.facebook.com/jobelec01,https://www.instagram.com/jobelec01/,4.6,14,355,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
122,contact@malavalelectricite.fr,,+33565610548,,MALAVAL ELECTRICITE,MALAVAL ELECTRICITE,"All. de la Sérénité, 12100 Millau",https://www.electricitemillau.fr/,,,4.3,6,4287,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
124,depannexpress@outlook.com,+33661220196,,,Depann'Express - Électricité Plomberie et Serrurerie,Depann'Express - Électricité Plomberie et Serrurerie,"7 Av. Alfred Merle, 12100 Millau",https://www.depannexpress12.fr/,https://www.facebook.com/p/Depann-Express-100089337944861/,,5.0,35,4287,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
126,egmmillau@aol.com,+33682704736,,,Ets Merlette,Ets Merlette,"10 Rue de Strasbourg, 12100 Millau",https://www.electricien-a-millau.fr/index.html,,,5.0,6,4287,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
130,contact@adimgroupe.com,,+33565594813,,Adimgroupe,Adimgroupe,"ZC du Cap du Crès, 395 Chem. de Sallèles, 12100 Millau",http://www.adimgroupe.com/,https://fr-fr.facebook.com/adimgroupemillau,,4.6,38,4287,Chauffagiste,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
136,gabelec11@gmail.com,+33783633889,,,Gab élec,Gab élec,"9 Rue Floréal, 11800 Trèbes",http://www.gabelec.fr/,https://www.facebook.com/profile.php?id=100089508679568,https://www.instagram.com/gab_elec_officiel/,4.9,68,4049,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
138,Smaelec.pro@outlook.com,+33781477527,,,SMAELEC,SMAELEC,"4 Rue Voltaire, 11800 Trèbes",https://www.smaelec.com/,https://www.facebook.com/profile.php?id=61572242877304,,4.3,6,4049,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
140,073160f6a54ed5776bc71e6f45e5b333@sentry-hosting.infomaniak.com,+33768330115,,,Doumeret Electricite,Doumeret Electricite,,https://d-electricite.fr/,https://www.facebook.com/Facebook,,5.0,28,4049,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
146,devis@lesbonselectriciens.fr,+33662264237,,,Électricien Montpellier Dépannage Électrique | Électricien à Montpellier,Électricien Montpellier Dépannage Électrique | Électricien à Montpellier,"1400 Rue de la Castelle 1 place Louis Aragon Lattes, 34070 Montpellier",https://lesbonselectriciens.fr/,,,4.9,81,13399,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
147,ervr34@gmail.com,+33641716270,,,ERVR34 Electricien Montpellier,ERVR34 Electricien Montpellier,"12 Rue Frédéric Bazille, 34000 Montpellier",http://www.ervr34.eu/,,,4.8,58,13363,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
148,flags@2x.webp,+33634141423,,,Domus Service - Electricien Montpellier - Urgence électrique,Domus Service - Electricien Montpellier - Urgence électrique,"50 Rue des Sauges, 34070 Montpellier",https://www.domusservice.fr/,https://www.facebook.com/DomusServicefr/,https://www.instagram.com/domusServicefr/,5.0,95,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
150,contact@g-nelec.com,+33608423998,,,G-nelec - Electricien Montpellier - Installation - Dépannage électrique,G-nelec - Electricien Montpellier - Installation - Dépannage électrique,"112 Rue d'Astier de la Vigerie, 34000 Montpellier",https://www.g-nelec.fr/,,,4.0,59,13449,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
151,contact@geaugey-electricite.com,+33782911913,,,GEAUGEY ÉLECTRICITÉ MONTPELLIER,GEAUGEY ÉLECTRICITÉ MONTPELLIER,"630 Av. du Maréchal Leclerc, 34070 Montpellier",https://www.geaugey-electricite.com/,https://www.facebook.com/geaugey.electricien/,https://www.instagram.com/geaugey.electricite/,4.9,44,13445,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
153,contact@kwatee-energie.fr,+33650590188,,,MAE MON ARTISAN ELECTRICIEN,MAE MON ARTISAN ELECTRICIEN,,https://kwatee-energies.fr/,https://www.facebook.com/kWateeEnergie,,4.7,15,13445,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
156,fdelectricienmontpellier@gmail.com,+33755605880,,,FD Electricien Montpellier,FD Electricien Montpellier,"17 Av. d'Assas, 34000 Montpellier",http://electricienmontpellier.fr/,,,5.0,27,13367,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
157,contact@lumyos.fr,+33698977996,,,Lumyos - Electricien et Dépannage à Montpellier et alentours,Lumyos - Electricien et Dépannage à Montpellier et alentours,"33 Rue de Lipari, 34080 Montpellier",https://lumyos.fr/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,,,5.0,22,13367,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
161,contact@geniuselec.com,+33612821062,,,"GENIUS ELEC | Electricien Montpellier - Installation, Dépannage Et Rénovation Électrique","GENIUS ELEC | Electricien Montpellier - Installation, Dépannage Et Rénovation Électrique","301 résid Le Mas D Aiguelongue, 55 Rue du Mas de Calenda, 34090 Montpellier",https://www.geniuselec.com/,,https://www.instagram.com/genius_elec/,5.0,34,13449,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
163,electricien34urgence@gmail.com,,+33465847957,,Electricien en urgence 34,Electricien en urgence 34,"135 Quai Louis le Vau, 34080 Montpellier",http://electricien-urgence-34.fr/,,,5.0,34,13399,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
169,moreau.elec@yahoo.fr,+33664890911,,,Cyrille Moreau Plomberie Electricité,Cyrille Moreau Plomberie Electricité,"509 rue Bugarel, Rés Turin Rue de Bugarel bat 4, 34070 Montpellier",https://cmplomberieelectricite.fr/,,,5.0,18,13339,Plombier,Non catégorisé,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
174,contact@siee34.fr,,+33467825580,,S.i.e.e,S.i.e.e,"980 Av. Professeur Louis Ravas avenue du, 34080 Montpellier",https://siee34.com/,,,4.6,9,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
178,contact@baptielec.frEURL,+33767108009,,,BAPTIELEC,BAPTIELEC,,https://www.baptielec.fr/?utm_source=gmb,,,5.0,32,13352,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
181,Contact@instaelec.fr,+33646231752,,,Insta Elec,Insta Elec,"203 Rue de Leyde, 34080 Montpellier",https://www.instaelec.fr/,https://www.facebook.com,https://www.instagram.com,4.0,4,13449,Service d'installation électrique,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
182,egp34000@gmail.com,+33683162397,,,Électricité du Grand Pic,Électricité du Grand Pic,,https://electricien-herault.fr/,https://www.facebook.com/profile.php?id=100090552634260,,5.0,62,13363,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
187,seb@telselec.fr,+33618826040,,,TELS'Elec,TELS'Elec,"61 Imp. Marcel Cayrol, 34090 Montpellier",https://telselec.fr/,,,4.9,10,13449,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
190,contact@amj-electricite.fr,+33652419923,,,Amj ep 34,Amj ep 34,"949 Av. Professeur Louis Ravas, 34080 Montpellier",https://amj-electricite.fr/,,,5.0,6,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
191,gestion-web@attps.fr,,+33467275493,,Amperiance,Amperiance,"ZAC Descartes, 8 Rue de Perpignan, 34880 Lavérune",http://www.amperiance.fr/,https://www.facebook.com/amperiance,https://www.instagram.com/amperiance_?igsh=eXgza3lqZjJlaXVt,4.8,15,13319,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
193,contact@cerveo.fr,+33641371861,,,Cervéo électricien centre ville Montpellier 34,Cervéo électricien centre ville Montpellier 34,"2 Rue Draperie Saint-Firmin, 34000 Montpellier",https://www.cerveo.fr/,,,5.0,11,11197,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
202,support@webador.fr,+33640211194,,,ESCAVIA FLORENT ELEC,ESCAVIA FLORENT ELEC,,http://www.escavia-elec.fr/,https://facebook.com/share/185sX4cLse/?mibextid=wwXIfr,,5.0,212,13363,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
204,mnsystemeetsolution@gmail.com,+33634088209,,,MN Système et Solutions,MN Système et Solutions,"1666 Av. de l'Europe, 34170 Castelnau-le-Lez",https://mns-solutions.fr/,https://www.facebook.com/mnsysteme/,https://www.instagram.com/mn_systeme_et_solutions/,4.9,110,13338,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
207,contact@screnovations.fr,,+33467811818,,SC Rénovations : Électricien Montpellier,SC Rénovations : Électricien Montpellier,"164 Rue Emile Gaboriau, 34070 Montpellier",https://screnovations.fr/,,,5.0,1,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
209,raster@2x.png,+33666875483,,,EIRL Kiss'eleK,EIRL Kiss'eleK,"26 ter Rte de Montpellier, 34430 Saint-Jean-de-Védas",https://electricite-kiss.fr/,https://www.facebook.com/p/EIRL-Kisselek-100023131157886/?locale=fr_FR,,4.9,58,13363,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
221,support@entrepriseherry.fr,+33608042866,,,Plaquiste/ Électricien/ Rénovation/ Aménagement _ EURL HERRY (Groupement d'artisan) Montpellier,Plaquiste/ Électricien/ Rénovation/ Aménagement _ EURL HERRY (Groupement d'artisan) Montpellier,,https://www.entrepriseherry.fr/,https://www.facebook.com/people/EURL-HERRY/61567299267449/,https://www.instagram.com/eurl.herry.2009/,5.0,52,13339,,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
224,contact@mve-electricite.fr,,+33467526502,,MVE Electricité,MVE Electricité,"259 Rue de la Bandido, 34160 Castries",http://mve-electricite.fr/?utm_source=gmb,https://www.facebook.com/MVEElectricite,,4.8,23,13352,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
227,contact@occitravaux.fr,,+33469002166,,OCCITRAVAUX,OCCITRAVAUX,"78 Pl. d'Italie, 34080 Montpellier",http://occitravaux.fr/,,https://www.instagram.com/occitravaux?igsh=MWp6ODQyeXQxdXRsYw%3D%3D&utm_source=qr,5.0,1,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
228,contact@jg-electricite.com,+33610396014,,,J&G Électricité,J&G Électricité,"9 Rue d'Aubeterre, 34820 Teyran",https://www.jg-electricite.com/,,https://www.instagram.com/jg.electricite,5.0,9,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
235,arvin.artisan@gmail.com,+33650123529,,,Arvin Electricité,Arvin Electricité,"94 Rue des Vignes Blanches, 34980 Saint-Gély-du-Fesc",https://arvin-electricite.fr/,,,4.9,52,13367,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
238,heronelectricite@gmail.com,+33678846439,,,Heron Electricité,Heron Electricité,"3 Rue du Collège, 34000 Montpellier",https://heronelectricite.wixsite.com/my-site-2,https://www.facebook.com/Heron-Electricite-106587101492313,https://instagram.com/wix/,,,13339,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
241,contact@selmoni.fr,,+33389089373,,Selmoni,Selmoni,"Bâtiment 11, 39 Av. du 8E Régiment de Hussards, 68130 Altkirch",http://www.selmoni.fr/,,,4.9,7,27702,Électricien,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
246,contact@arnes-thermique.fr,,+33369100747,,Arnes Thermique,Arnes Thermique,"57 Rte de Carspach, 68130 Altkirch",https://www.arnes-thermique.fr/?utm_source=Google&utm_medium=My%20Business,,,5.0,45,27702,Chauffagiste,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
248,labella.secretariat@gmail.com,,+33466536285,,Lb Distribution,Lb Distribution,"Rue des Artisans, 30220 Aigues-Mortes",https://lb-distribution.fr/,https://www.facebook.com/lbdistribution30220,https://www.instagram.com/lb.distribution/,5.0,6,11197,Fournisseur d'équipements électriques,Électricien,Develly,EMAIL,Exporté depuis Supabase le 2026-06-01
