supabase_id,EMAIL,SMS,TEL,PRENOM,NOM,COMPANY,ADDRESS,WEBSITE_URL,FACEBOOK_URL,INSTAGRAM_URL,AVERAGE_RATE,NUMBER_OF_RATE,CITY_ID,JOB_TITLE,CATEGORIE,PROPRIETAIRE,CANAL_PRINCIPAL,COMMENTAIRE
14,,+33766839544,,,My CGP - Cabinet de gestion de patrimoine à Rennes,My CGP - Cabinet de gestion de patrimoine à Rennes,"28 Bd du Colombier, 35000 Rennes",https://my-cgp.fr/,,https://www.instagram.com/mycgp,5.0,15,11003,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
18,,+33783455626,,,CGP,CGP,"6 Rue du Viaduc, 77210 Avon",,,,,,10453,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
19,,+33661897983,,,CGR Conseil & Patrimoine - Raphaële Cuignet CGP,CGR Conseil & Patrimoine - Raphaële Cuignet CGP,,,,,5.0,2,10372,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
21,,+33782767764,,,CGP'IMM,CGP'IMM,"6 Rdpt des Champs-Élysées Marcel-Dassault, 75008 Paris",,,,,,10790,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
25,,+33650243781,,,CGP Immobilier,CGP Immobilier,"13 Av. Mac-Mahon, 75017 Paris",,,,,,10372,Agent immobilier,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
27,,+33769599966,,,CGP Academie,CGP Academie,"25 Quai du Président Paul Doumer, 92400 Courbevoie",https://cgpacademie.fr/,,,5.0,11,10838,Centre d'information,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
28,,+33638650043,,,"CGP & Associés, cabinet de conseil patrimonial","CGP & Associés, cabinet de conseil patrimonial","23 Av. Victor Hugo, 75116 Paris",https://cgpassocies.fr/,,,,,10372,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
31,,+33620734216,,,UP PATRIMOINE - Viviane Lombard - CGP - Conseils en Investissements Financiers,UP PATRIMOINE - Viviane Lombard - CGP - Conseils en Investissements Financiers,"135 rue du Maréchal Leclerc 1er étage- face, 94410 Saint-Maurice",,,,5.0,10,10453,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
32,,+33762054071,,,CGP.CONSEIL,CGP.CONSEIL,"Rue Carles Vernet, 92310 Sèvres",,,,,,10838,Consultant,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
38,,+33661327573,,,Patrick N'din Conseils en Immobilier,Patrick N'din Conseils en Immobilier,,,,,5.0,7,10079,Conseil,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
43,,+33748109259,,,L' Atelier Patrimoine - Conseils en Investissements Financiers - CGP,L' Atelier Patrimoine - Conseils en Investissements Financiers - CGP,,https://www.bing.com/videos/riverview/relatedvideo?q=video+filianse+pr%C3%A9mium&mid=FF9CCAF02D0CCC8711D3FF9CCAF02D0CCC8711D3&FORM=VIRE,,,5.0,8,10419,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
48,,+33676430258,,,Guillaume Aubin CGP,Guillaume Aubin CGP,"3 Rue Alphonse Bertillon, 75015 Paris",,,,,,10372,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
53,,+33612560565,,,Michel CAGET - Conseiller en Gestion de Patrimoine -,Michel CAGET - Conseiller en Gestion de Patrimoine -,"19 Bd du Château, 94500 Champigny-sur-Marne",https://www.linkedin.com/in/michel-caget/,,,5.0,14,10079,Conseil en investissement,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
55,,+33782696168,,,Groupe Quintésens STALPORT CGP (Conseiller en Gestion de Patrimoine),Groupe Quintésens STALPORT CGP (Conseiller en Gestion de Patrimoine),"9 Av. Vauban, 89100 Sens",,,,5.0,4,10079,Conseiller financier,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
67,,+33609866342,,,Gauville la campagne,Gauville la campagne,"5 Rue du Neubourg, 27930 Gauville-la-Campagne",,,,5.0,1,10434,,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
70,,+33622520336,,,Karl RINGUET_CIF / CGP,Karl RINGUET_CIF / CGP,"31 Imp. du Vieux Lavoir, 77400 Pomponne",,,,,,10838,Conseil,CGP,Rentium,WHATSAPP,Exporté depuis Supabase le 2026-06-01
78,,+33660372205,,,gepam patrimoine et immobilier,gepam patrimoine et immobilier,"Kergulan, 29120 Combrit",,,,4.3,6,10985,Conseiller financier,Agent immobilier,Immo Trust,WHATSAPP,Exporté depuis Supabase le 2026-06-01
86,,+33675759604,,,Julie TREUSSIER - iad France,Julie TREUSSIER - iad France,,https://www.iadfrance.fr/conseiller-immobilier/julie.treussier,,,5.0,13,10924,Consultant immobilier,Agent immobilier,Immo Trust,WHATSAPP,Exporté depuis Supabase le 2026-06-01
